NOVEMBER,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
,,,,,,,
Monday,2021/11/1,88,8:06:00,20.00%,13.00%,84.00%,10:41pm - 7:54am
Tuesday,2021/11/2,83,7:57:00,12.00%,18.00%,90.00%,10:40pm - 7:55am
Wednesday,2021/11/3,81,7:06:00,13.00%,22.00%,93.00%,11:03pm - 7:16am
Thursday,2021/11/4,86,7:04:00,19.00%,17.00%,97.00%,10:55pm - 6:56am
Friday,2021/11/5,81,9:24:00,17.00%,15.00%,66.00%,10:14pm - 9:01am
Saturday,2021/11/6,77,8:19:00,14.00%,13.00%,21.00%,11:21 - 8:45am
Sunday,2021/11/7,86,7:37:00,20.00%,15.00%,80.00%,11:18pm - 6:57am
Monday,2021/11/8,81,6:46,16%,17.00%,89.00%,11:50pm - 7:40am
Tuesday,2021/11/9,88,7:10:00,24.00%,19.00%,98.00%,11:14pm - 7:16am
Wednesday,2021/11/10,84,7:16:00,21.00%,17.00%,96.00%,11:16pm - 7:29am
Thursday,2021/11/11,85,6:52:00,19.00%,21.00%,97.00%,10:47pm - 6:32am
Friday,2021/11/12,85,7:28:00,18.00%,16.00%,74.00%,10:21pm - 6:47am
Saturday,2021/11/13,74,6:06,16.00%,21.00%,43.00%,11:34pm - 6:51am
Sunday,2021/11/14,88,6:59:00,23.00%,22.00%,91.00%,10:54pm - 6:48am
Monday,2021/11/15,87,7:19:00,21.00%,22.00%,96.00%,10:45pm - 6:57am
Tuesday,2021/11/16,80,7:22:00,17.00%,11.00%,55.00%,11-38pm - 8:23am
Wednesday,2021/11/17,78,6:57:00,15.00%,14.00%,67.00%,11:50pm - 7:50am
Thursday,2021/11/18,87,7:14:00,24.00%,19.00%,98.00%,10:42pm - 6:51am
Friday,2021/11/19,83,6:50:00,20.00%,20.00%,75.00%,10:49pm - 6:37am
Saturday,2021/11/20,86,7:56:00,24.00%,17.00%,63.00%,10:53pm - 7:59am
Sunday,2021/11/21,88,7:33:00,19.00%,16.00%,95.00%,11:13pm - 8:07am
Monday,2021/11/22,87,8:21:00,14.00%,19.00%,94.00%,10:12pm - 7:32am
Tuesday,2021/11/23,86,8:15:00,20.00%,14.00%,72.00%,11:53pm - 9:15am
Wednesday,2021/11/24,77,6:26:00,18.00%,13.00%,55.00%,11:36pm - 7:13am
Thursday,2021/11/25,81,6:51:00,20.00%,17.00%,51.00%,12:50am - 8:27am
Friday,2021/11/26,87,8:45:00,22.00%,19.00%,56.00%,12:53am - 10:35am
Saturday,2021/11/27,86,7:53:00,24.00%,19.00%,66.00%,12:51am - 10:04am
Sunday,2021/11/28,83,6:13:00,22.00%,22.00%,81.00%,12:02am - 6:59am
Monday,2021/11/29,89,7:44:00,18.00%,21.00%,81.00%,11:00pm - 7:38am
Tuesday,2021/11/30,78,6:48:00,12.00%,13.00%,74.00%,11:16pm - 7:06am
